step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
222,TRANSFER,1338487.47,C146036421,1338487.47,0.0,C423402109,0.0,0.0,1,0
266,CASH_OUT,10000000.0,C122340101,10000000.0,0.0,C1220405366,0.0,10000000.0,1,0
403,PAYMENT,12629.37,C1311878586,0.0,0.0,M1769834764,0.0,0.0,0,0
333,TRANSFER,613386.47,C1747145837,613386.47,0.0,C915095399,0.0,0.0,1,0
398,CASH_OUT,54845.39,C91126968,187966.0,133120.61,C1038478460,0.0,54845.39,0,0
135,CASH_IN,119577.28,C1568752846,6743637.56,6863214.85,C1135283821,1283703.54,1400364.48,0,0
180,CASH_IN,2133.43,C1746770998,213076.0,215209.43,C1339364565,551740.49,549607.05,0,0
226,PAYMENT,7908.65,C1133900234,0.0,0.0,M1382012890,0.0,0.0,0,0
11,PAYMENT,19289.78,C760943987,279726.7,260436.93,M980070552,0.0,0.0,0,0
188,PAYMENT,3276.55,C460032235,10508.0,7231.45,M89919044,0.0,0.0,0,0
248,TRANSFER,18035.14,C742508903,18035.14,0.0,C1568770373,0.0,0.0,1,0
701,TRANSFER,1947831.96,C83368332,1947831.96,0.0,C195897320,0.0,0.0,1,0
437,TRANSFER,101392.92,C1484407499,101392.92,0.0,C86900925,0.0,0.0,1,0
37,CASH_OUT,288988.82,C225362141,367076.0,78087.18,C2143477943,8626812.23,8915801.05,0,0
348,PAYMENT,39717.42,C1428245385,21117.0,0.0,M461653040,0.0,0.0,0,0
251,CASH_IN,284165.59,C1168854237,42102.0,326267.59,C37845005,0.0,0.0,0,0
277,CASH_OUT,165071.73,C1100593321,19801.0,0.0,C587223907,4010773.37,4175845.11,0,0
68,CASH_OUT,374178.28,C712970778,374178.28,0.0,C44247024,616364.57,990542.85,1,0
229,CASH_OUT,69225.77,C1355890826,0.0,0.0,C1422857333,477949.78,547175.54,0,0
139,CASH_OUT,33566.26,C1765058432,36277.0,2710.74,C1432043427,0.0,33566.26,0,0
183,CASH_OUT,46135.88,C129990019,8035.0,0.0,C504309217,120586.98,166722.86,0,0
262,PAYMENT,685.5,C858894544,23862.56,23177.06,M176937271,0.0,0.0,0,0
333,TRANSFER,2070939.88,C1745983205,2070939.88,0.0,C754249835,0.0,0.0,1,0
283,CASH_OUT,43898.22,C1335782814,50764.0,6865.78,C1611020124,209112.13,253010.35,0,0
13,CASH_OUT,1161495.82,C165094398,1161495.82,0.0,C1966002811,319036.02,1565123.81,1,0
156,CASH_IN,224719.13,C374639791,3072714.11,3297433.25,C1256397776,2006455.42,1781736.29,0,0
348,PAYMENT,3251.32,C1002263770,105517.0,102265.68,M1910486287,0.0,0.0,0,0
401,CASH_OUT,57968.87,C67990184,0.0,0.0,C1862472890,2308738.04,2366706.92,0,0
544,CASH_IN,82914.11,C1280643460,11220.0,94134.11,C1261771408,373996.4,291082.29,0,0
351,TRANSFER,6721321.33,C1914099833,6721321.33,0.0,C1517275009,0.0,0.0,1,0
594,PAYMENT,7932.47,C86230497,11061.0,3128.53,M612802977,0.0,0.0,0,0
282,CASH_IN,20143.57,C264260132,155688.32,175831.89,C893846226,141651.21,121507.64,0,0
15,PAYMENT,5732.01,C1868686109,0.0,0.0,M588718350,0.0,0.0,0,0
41,CASH_IN,433212.66,C807610768,101339.0,534551.66,C560211992,2732452.29,2299239.63,0,0
741,CASH_OUT,62297.18,C1597957921,62297.18,0.0,C734451013,1060553.11,1122850.29,1,0
204,PAYMENT,3318.77,C865601549,0.0,0.0,M735911255,0.0,0.0,0,0
490,CASH_OUT,127670.53,C1283968305,73270.0,0.0,C2077701384,0.0,127670.53,0,0
323,CASH_IN,235884.97,C630907376,29913.0,265797.97,C1195438066,0.0,0.0,0,0
217,CASH_OUT,538312.05,C1411459679,538312.05,0.0,C1106299275,473640.86,1011952.91,1,0
305,PAYMENT,10361.1,C955573615,40783.0,30421.9,M95886428,0.0,0.0,0,0
685,CASH_OUT,1933121.35,C917618384,1933121.35,0.0,C235519584,298353.09,2231474.43,1,0
526,CASH_OUT,606920.11,C998785780,606920.11,0.0,C2120671448,16606636.44,17213556.55,1,0
351,PAYMENT,27627.23,C1550303795,246457.03,218829.8,M1841931933,0.0,0.0,0,0
40,PAYMENT,7983.28,C991223132,0.0,0.0,M998549558,0.0,0.0,0,0
86,CASH_OUT,17822.02,C270438906,17822.02,0.0,C976082192,2619609.53,2637431.55,1,0
277,CASH_OUT,210224.91,C1117188408,0.0,0.0,C1813809853,343442.37,553667.29,0,0
372,TRANSFER,455196.69,C491118265,0.0,0.0,C473558396,549180.88,1004377.57,0,0
157,CASH_OUT,25929.34,C2103536326,0.0,0.0,C322537546,4005357.84,4305871.23,0,0
564,CASH_OUT,2472250.47,C1806442473,2472250.47,0.0,C576597272,4136.88,2476387.35,1,0
325,PAYMENT,7106.55,C246840879,5007.0,0.0,M1278076571,0.0,0.0,0,0
328,CASH_OUT,38881.9,C128280819,119544.0,80662.1,C818393392,339215.02,378096.93,0,0
16,PAYMENT,5229.63,C18819856,0.0,0.0,M163895935,0.0,0.0,0,0
352,CASH_OUT,160447.65,C1043943246,0.0,0.0,C1182908789,9495823.0,9656270.65,0,0
81,TRANSFER,221936.6,C238307313,221936.6,0.0,C1029951793,0.0,0.0,1,0
131,CASH_OUT,220921.29,C902515575,50235.0,0.0,C1925003318,338425.07,917756.83,0,0
226,CASH_IN,280623.74,C2123619028,58020.93,338644.67,C2081288984,2066674.18,1786050.44,0,0
17,CASH_OUT,265389.25,C307623308,166230.07,0.0,C555681052,317325.91,582715.16,0,0
328,CASH_IN,147823.25,C316350747,116472.0,264295.25,C1634749991,195454.75,47631.5,0,0
255,CASH_IN,143429.21,C358437883,28105.0,171534.21,C1647436417,2264694.72,2072471.24,0,0
186,PAYMENT,799.14,C1436588664,10813.0,10013.86,M356929689,0.0,0.0,0,0
378,TRANSFER,734867.26,C1251419400,0.0,0.0,C1273035440,1534859.02,2269726.28,0,0
230,CASH_OUT,196145.69,C685916630,455171.0,259025.31,C308787563,982699.43,1178845.12,0,0
311,TRANSFER,541708.87,C417416217,0.0,0.0,C1295647336,723081.89,1264790.76,0,0
369,CASH_OUT,101944.23,C579194381,39795.0,0.0,C180486695,0.0,101944.23,0,0
500,CASH_IN,547181.62,C1868357907,1093417.38,1640599.0,C1310776264,5359809.91,4812628.29,0,0
35,CASH_OUT,217701.94,C734591497,113377.0,0.0,C1114968674,24792.75,242494.69,0,0
139,CASH_OUT,90709.22,C421816868,144433.0,53723.78,C248743038,74176.3,280441.17,0,0
183,CASH_OUT,191404.15,C67730287,0.0,0.0,C690031047,264714.29,456118.44,0,0
323,PAYMENT,8181.21,C687707550,0.0,0.0,M238680274,0.0,0.0,0,0
36,CASH_OUT,723541.2,C899236395,51201.0,0.0,C2075558455,5322808.74,6168444.63,0,0
379,PAYMENT,12845.44,C379167412,592.0,0.0,M661447875,0.0,0.0,0,0
323,CASH_OUT,174229.83,C542183835,0.0,0.0,C2114237349,782860.94,957090.77,0,0
116,CASH_OUT,1562871.32,C885720640,1562871.32,0.0,C1672277432,802340.28,2365211.6,1,0
192,TRANSFER,1489970.0,C850343949,1489970.0,0.0,C1016060070,0.0,0.0,1,0
440,TRANSFER,1102791.66,C1870904477,1102791.66,0.0,C1042117243,0.0,0.0,1,0
279,CASH_OUT,22028.63,C917674994,39865.0,17836.37,C1420611218,0.0,22028.63,0,0
21,PAYMENT,29669.36,C144887918,0.0,0.0,M761952951,0.0,0.0,0,0
402,CASH_OUT,176274.97,C2011915530,0.0,0.0,C1817722861,3540465.64,3716740.61,0,0
182,CASH_OUT,141811.05,C1089508746,848.0,0.0,C801674810,0.0,141811.05,0,0
619,PAYMENT,6661.06,C1391777808,248.0,0.0,M124069971,0.0,0.0,0,0
40,CASH_OUT,409643.85,C1099713102,56044.0,0.0,C28593299,828355.62,1237999.47,0,0
179,CASH_OUT,77199.89,C1709566582,9954.0,0.0,C843564031,496706.83,573906.72,0,0
13,CASH_IN,282341.19,C1571606680,145399.99,427741.18,C1504235831,3404043.28,3390654.48,0,0
35,PAYMENT,5372.67,C1825007448,49928.0,44555.33,M245249459,0.0,0.0,0,0
477,CASH_OUT,1720600.92,C1928293922,1720600.92,0.0,C2120663616,5085691.59,6806292.51,1,0
403,PAYMENT,21853.09,C627997893,8.0,0.0,M337359247,0.0,0.0,0,0
210,PAYMENT,20183.4,C1408030867,0.0,0.0,M1145185199,0.0,0.0,0,0
183,CASH_IN,67124.04,C976354722,4940678.39,5007802.43,C105700853,99019.5,31895.45,0,0
35,PAYMENT,314.21,C634406691,0.0,0.0,M1470879217,0.0,0.0,0,0
308,CASH_OUT,15610.97,C66428176,0.0,0.0,C1814563540,8407548.61,8423159.58,0,0
237,TRANSFER,231233.89,C74879680,0.0,0.0,C1450507245,1586615.52,1817849.41,0,0
182,PAYMENT,1825.99,C1687929125,1143.0,0.0,M154661541,0.0,0.0,0,0
233,CASH_IN,147688.95,C1438349123,10334566.98,10482255.92,C320919849,9258455.38,9110766.44,0,0
59,TRANSFER,192765.49,C267452646,192765.49,0.0,C243306413,0.0,0.0,1,0
204,PAYMENT,12568.9,C2095067603,0.0,0.0,M1319962807,0.0,0.0,0,0
136,CASH_IN,28615.49,C1123011283,907.0,29522.49,C723315168,0.0,0.0,0,0
619,CASH_IN,485066.25,C204816687,1377229.19,1862295.43,C1195126329,543876.48,58810.24,0,0
48,TRANSFER,5489302.04,C806769154,5489302.04,0.0,C519182481,0.0,0.0,1,0
182,CASH_IN,200132.4,C1219357384,4930469.86,5130602.26,C1512128756,232381.34,32248.95,0,0
210,CASH_OUT,12329.46,C1237561369,127104.0,114774.54,C1706999020,423296.64,435626.1,0,0
230,PAYMENT,1494.58,C623767610,0.0,0.0,M1572515921,0.0,0.0,0,0
185,CASH_IN,305598.82,C534879432,183430.0,489028.82,C2073851633,3064074.04,2758475.22,0,0
130,TRANSFER,758534.47,C1032533502,761169.0,2634.53,C944349205,1902666.93,2661201.4,0,0
196,TRANSFER,288148.22,C842156378,288148.22,0.0,C1029607217,0.0,0.0,1,0
227,PAYMENT,5856.73,C921281960,0.0,0.0,M364662138,0.0,0.0,0,0
15,TRANSFER,312005.23,C833947598,0.0,0.0,C1139004975,1293743.55,1605748.78,0,0
225,CASH_IN,59051.56,C1645639006,6042.0,65093.56,C1821643627,0.0,0.0,0,0
378,PAYMENT,2792.37,C708421142,0.0,0.0,M1379175833,0.0,0.0,0,0
401,CASH_OUT,323270.99,C72982844,21164.0,0.0,C1081381255,7242661.85,7565932.84,0,0
160,CASH_OUT,36294.4,C346114719,100627.0,64332.6,C923416122,28486.58,64780.98,0,0
163,CASH_OUT,344115.14,C1791162264,0.0,0.0,C1835302184,1484189.77,1828304.91,0,0
121,CASH_OUT,1241118.86,C1355617171,1241118.86,0.0,C491626410,30436340.62,31677459.48,1,0
13,CASH_IN,79802.39,C1456927707,9800880.94,9880683.33,C2072865894,4145650.69,4321909.23,0,0
229,CASH_IN,353727.41,C1940744783,773290.0,1127017.41,C1082252805,0.0,0.0,0,0
237,CASH_OUT,15540.9,C1061081444,5786.0,0.0,C461065116,87808.98,103349.88,0,0
671,TRANSFER,188731.21,C1388119731,188731.21,0.0,C1365710126,0.0,0.0,1,0
40,CASH_OUT,498953.08,C1654633384,0.0,0.0,C1727565779,11887226.2,12386179.28,0,0
154,CASH_OUT,442722.01,C1825078209,442722.01,0.0,C216559212,90335.5,533057.51,1,0
371,PAYMENT,12668.14,C1316796981,11160.0,0.0,M480305643,0.0,0.0,0,0
139,CASH_OUT,183580.65,C161884633,0.0,0.0,C1889942518,397311.31,580891.95,0,0
48,CASH_OUT,337974.21,C1171102344,337974.21,0.0,C1505545472,0.0,337974.21,1,0
281,PAYMENT,4509.37,C597709445,51613.0,47103.63,M1025956247,0.0,0.0,0,0
33,PAYMENT,36372.87,C948921694,0.0,0.0,M198267376,0.0,0.0,0,0
38,CASH_OUT,210301.81,C896040055,0.0,0.0,C1773129846,1395285.18,1605586.99,0,0
43,CASH_IN,36186.62,C1709329306,317692.0,353878.62,C1154907070,165858.02,129671.4,0,0
545,CASH_IN,272645.19,C71192518,127914.0,400559.19,C459193964,2991992.69,2719347.51,0,0
35,PAYMENT,23743.46,C598978291,0.0,0.0,M349359646,0.0,0.0,0,0
122,TRANSFER,994676.91,C145252938,994676.91,0.0,C2046097949,0.0,0.0,1,0
171,TRANSFER,948288.3,C664235460,948288.3,0.0,C162417333,0.0,0.0,1,0
137,CASH_OUT,40405.92,C336898699,0.0,0.0,C1781100751,463019.09,503425.01,0,0
38,CASH_OUT,340364.37,C63397202,0.0,0.0,C1194408015,2679795.8,3020160.17,0,0
210,PAYMENT,8629.38,C455088934,5903.0,0.0,M223803644,0.0,0.0,0,0
733,CASH_OUT,438859.1,C1632082016,438859.1,0.0,C1877779310,1127370.06,1566229.16,1,0
398,PAYMENT,4930.53,C1367338727,0.0,0.0,M2048182832,0.0,0.0,0,0
297,CASH_OUT,81579.64,C1537359884,407222.0,325642.36,C775095432,198214.85,279794.49,0,0
351,CASH_OUT,96920.82,C582241736,67686.0,0.0,C1083714232,670007.59,766928.41,0,0
281,PAYMENT,12957.68,C1485760751,0.0,0.0,M194128108,0.0,0.0,0,0
231,PAYMENT,8980.79,C65455566,0.0,0.0,M15139749,0.0,0.0,0,0
49,PAYMENT,26621.81,C1052256628,0.0,0.0,M990017445,0.0,0.0,0,0
163,TRANSFER,97857.22,C1245758257,0.0,0.0,C739340707,1002710.03,1100567.25,0,0
71,TRANSFER,304085.48,C378617827,304085.48,0.0,C1265131322,0.0,0.0,1,0
44,CASH_OUT,110626.47,C1799504647,21208.0,0.0,C814596448,0.0,110626.47,0,0
208,CASH_IN,39327.14,C970730944,4413038.59,4452365.73,C665250258,42187.38,2860.24,0,0
40,CASH_OUT,7515.65,C1581129957,0.0,0.0,C438161193,319087.02,326602.66,0,0
72,CASH_OUT,622235.32,C615309889,622235.32,0.0,C755984599,3377968.96,4000204.28,1,0
229,CASH_OUT,20114.21,C908470539,7759.0,0.0,C1664840959,0.0,20114.21,0,0
348,CASH_OUT,20895.01,C1730351097,23098.0,2202.99,C1706628512,72625.39,93520.4,0,0
334,PAYMENT,12747.55,C1059563435,0.0,0.0,M574001516,0.0,0.0,0,0
588,PAYMENT,34025.71,C310582111,0.0,0.0,M450941128,0.0,0.0,0,0
183,CASH_OUT,96521.04,C1803348533,0.0,0.0,C582811216,2427838.93,2524359.97,0,0
499,CASH_OUT,558136.45,C711889939,558136.45,0.0,C1052521330,82549.61,640686.06,1,0
24,CASH_OUT,6844.73,C2006451816,6844.73,0.0,C1380348902,264100.7,270945.42,1,0
94,PAYMENT,8402.97,C1183355101,317.25,0.0,M903514274,0.0,0.0,0,0
360,CASH_IN,38118.52,C760785698,6577456.47,6615574.99,C811779212,1129802.6,1091684.09,0,0
156,CASH_OUT,218720.06,C661078315,190171.6,0.0,C1611525311,1649921.57,1868641.63,0,0
380,CASH_OUT,103008.23,C704904157,3030.0,0.0,C2102425700,99316.7,202324.93,0,0
16,PAYMENT,10770.88,C1014658092,11044.0,273.12,M1767850562,0.0,0.0,0,0
184,CASH_IN,133524.31,C529473731,10198062.58,10331586.88,C736951206,3125927.49,2992403.18,0,0
306,PAYMENT,5132.15,C1003882465,0.0,0.0,M1005456399,0.0,0.0,0,0
280,CASH_OUT,37455.88,C191329573,125350.0,87894.12,C1033792013,0.0,37455.88,0,0
251,CASH_IN,307229.27,C1867471421,22590.0,329819.27,C983503159,630157.62,322928.36,0,0
15,CASH_OUT,166263.78,C1528921054,0.0,0.0,C1788384838,4822989.66,4989253.43,0,0
120,CASH_IN,196994.01,C983293376,650551.21,847545.22,C583527744,860650.07,663656.06,0,0
365,CASH_OUT,155799.82,C834601814,155799.82,0.0,C874278645,1605951.92,1761751.74,1,0
162,TRANSFER,8327328.27,C1699496065,8327328.27,0.0,C1917022253,0.0,0.0,1,0
205,CASH_IN,196422.63,C2081820161,7596075.35,7792497.98,C1017170348,520706.24,324283.61,0,0
572,TRANSFER,151715.39,C1308715820,151715.39,0.0,C997543700,0.0,0.0,1,0
262,CASH_IN,247093.49,C1255412334,7772252.08,8019345.57,C729747466,1707018.97,1459925.48,0,0
130,CASH_IN,108920.03,C843794115,4237939.44,4346859.47,C241926997,368484.72,259564.69,0,0
306,PAYMENT,13635.12,C913038340,436061.23,422426.11,M1825690025,0.0,0.0,0,0
201,CASH_OUT,45729.88,C2063066317,0.0,0.0,C1915740504,73649.65,0.0,0,0
407,CASH_IN,178420.38,C1775549795,1948001.99,2126422.37,C583501785,2086146.85,1907726.47,0,0
378,CASH_OUT,18735.62,C807088748,0.0,0.0,C963692308,180647.0,199382.62,0,0
379,PAYMENT,11115.5,C1455895706,201.0,0.0,M233792665,0.0,0.0,0,0
357,CASH_IN,44760.4,C1308991136,42864.0,87624.4,C938052324,565108.31,520347.92,0,0
136,PAYMENT,4728.93,C1986993967,5597.0,868.07,M1081278113,0.0,0.0,0,0
402,CASH_IN,7703.1,C1193929538,14493.0,22196.1,C2117471673,0.0,0.0,0,0
380,CASH_OUT,70125.14,C1284814177,70125.14,0.0,C737412944,7303214.4,7373339.54,1,0
522,TRANSFER,59250.11,C1845085414,59250.11,0.0,C1517088370,0.0,0.0,1,0
324,CASH_OUT,143044.32,C1782732877,361946.0,218901.68,C2000404409,0.0,143044.32,0,0
663,CASH_OUT,202952.03,C1256769742,202952.03,0.0,C1042309658,2738806.2,2941758.22,1,0
259,TRANSFER,558073.69,C1477071345,0.0,0.0,C1288964156,783207.52,1341281.21,0,0
404,CASH_OUT,26879.34,C52119512,0.0,0.0,C216561645,55708.05,82587.39,0,0
324,CASH_OUT,108239.01,C55577136,334.0,0.0,C1514960651,2171488.47,2279727.48,0,0
226,CASH_OUT,82869.09,C1143635966,82869.09,0.0,C275663782,104258.05,187127.14,1,0
527,CASH_IN,350765.54,C905849503,3238113.05,3588878.58,C265927846,461357.72,110592.19,0,0
286,CASH_OUT,115204.19,C1174743769,0.0,0.0,C2075845599,1218722.47,1333926.66,0,0
227,PAYMENT,2513.86,C1410951100,162760.4,160246.54,M299564238,0.0,0.0,0,0
284,PAYMENT,52884.44,C1806612454,51543.95,0.0,M242026700,0.0,0.0,0,0
379,CASH_OUT,55638.53,C564768265,0.0,0.0,C693599949,4219882.81,4275521.34,0,0
257,CASH_IN,471468.66,C279364202,6666543.96,7138012.62,C111863705,2202237.31,1730768.65,0,0
12,CASH_IN,293931.71,C1193955260,5329820.83,5623752.54,C1902027015,3216449.69,2832304.08,0,0
235,PAYMENT,12999.08,C1811544510,0.0,0.0,M1733316241,0.0,0.0,0,0
261,PAYMENT,3676.2,C1444453033,3000.0,0.0,M58543866,0.0,0.0,0,0
535,TRANSFER,72878.02,C1068111301,72878.02,0.0,C124815861,0.0,0.0,1,0
544,CASH_OUT,379010.31,C988850775,31069.0,0.0,C417253617,357204.5,736214.82,0,0
406,PAYMENT,23876.72,C119698745,0.0,0.0,M77539488,0.0,0.0,0,0
12,CASH_OUT,158244.09,C520109883,8025.0,0.0,C815260415,5532.0,163776.09,0,0
699,TRANSFER,181545.14,C828287936,181545.14,0.0,C1135968742,0.0,0.0,1,0
182,CASH_OUT,33887.14,C638722581,0.0,0.0,C1077560168,1975958.38,2009845.52,0,0
33,CASH_OUT,109177.14,C47527234,0.0,0.0,C684102107,184407.08,293584.22,0,0
139,PAYMENT,6296.9,C252047941,54633.0,48336.1,M1095484713,0.0,0.0,0,0
167,CASH_OUT,152411.85,C233995664,0.0,0.0,C888450872,665936.21,818348.05,0,0
278,CASH_OUT,224262.46,C234778764,0.0,0.0,C794414548,7462116.59,7686379.04,0,0
249,PAYMENT,5123.72,C1257016310,104802.0,99678.28,M1882577367,0.0,0.0,0,0
133,TRANSFER,1625161.14,C1905243048,835303.0,0.0,C1776166161,799023.75,2424184.9,0,0
449,CASH_OUT,1965786.11,C1721232424,1965786.11,0.0,C895676218,2223.45,1968009.57,1,0
114,TRANSFER,966222.5,C1846613103,966222.5,0.0,C1770878693,0.0,0.0,1,0
579,TRANSFER,32372.82,C1312636878,32372.82,0.0,C1253283859,0.0,0.0,1,0
306,CASH_IN,266900.22,C937497245,1676360.96,1943261.18,C392731130,3417151.01,3150250.79,0,0
13,PAYMENT,52414.18,C378745203,639860.0,587445.82,M699358105,0.0,0.0,0,0
160,CASH_OUT,140808.46,C1871197281,382.0,0.0,C536940643,0.0,140808.46,0,0
35,CASH_IN,37458.46,C650475160,11490.0,48948.46,C1797011565,212842.45,175383.99,0,0
251,CASH_OUT,296569.26,C1926053715,0.0,0.0,C1709299408,871567.72,1168136.99,0,0
17,CASH_OUT,36200.2,C820355956,60103.0,23902.8,C945037506,929512.17,1144089.37,0,0
43,TRANSFER,321355.38,C1506920061,709795.57,388440.19,C1466135391,567611.35,888966.73,0,0
138,CASH_OUT,71571.85,C831252060,20877.0,0.0,C1932857699,804925.31,876497.16,0,0
587,CASH_IN,437520.36,C1488166408,2441333.75,2878854.1,C1280305030,2729553.21,2292032.85,0,0
121,TRANSFER,936976.86,C415681195,936976.86,0.0,C243023678,0.0,0.0,1,0
345,PAYMENT,1111.53,C841779921,185998.0,184886.47,M2146711488,0.0,0.0,0,0
375,CASH_OUT,273533.91,C947186450,32502.0,0.0,C1675203912,77022.17,350556.08,0,0
331,PAYMENT,6715.69,C573216854,53986.0,47270.31,M13879691,0.0,0.0,0,0
379,CASH_IN,201532.49,C2147301884,1910318.01,2111850.5,C1492164665,491135.82,289603.33,0,0
378,CASH_IN,203975.84,C1334094275,6547249.26,6751225.1,C186948686,7518274.11,7314298.27,0,0
683,TRANSFER,93483.23,C1834440439,93483.23,0.0,C678733325,0.0,0.0,1,0
112,TRANSFER,42418.85,C2070012456,42418.85,0.0,C849021900,0.0,0.0,1,0
201,CASH_OUT,2477661.97,C959116993,2477661.97,0.0,C2073813717,25166.02,2502828.0,1,0
166,PAYMENT,9902.21,C899527963,531949.89,522047.68,M1899205708,0.0,0.0,0,0
47,CASH_IN,92133.28,C1923574750,125526.0,217659.28,C1564787278,6336113.03,6243979.75,0,0
379,CASH_IN,230778.2,C1251822038,5292672.54,5523450.74,C1773476169,1176843.2,946065.0,0,0
465,TRANSFER,461255.26,C470923235,461255.26,0.0,C588226024,0.0,0.0,1,0
561,CASH_OUT,285294.11,C1241779064,285294.11,0.0,C1539330075,181588.17,466882.27,1,0
323,PAYMENT,3788.58,C2082918154,142186.63,138398.05,M884371551,0.0,0.0,0,0
130,PAYMENT,26996.84,C936221738,219724.36,192727.52,M2097147348,0.0,0.0,0,0
43,CASH_OUT,88226.49,C278120806,0.0,0.0,C349829436,566799.81,655026.3,0,0
356,CASH_OUT,253951.81,C677176983,0.0,0.0,C309673098,5964599.69,6218551.49,0,0
387,TRANSFER,531551.0,C1042923577,531551.0,0.0,C1609500749,0.0,0.0,1,0
278,CASH_IN,168713.79,C1152892558,4254067.3,4422781.08,C1103496504,6007667.76,5838953.97,0,0
375,PAYMENT,1032.68,C1034038811,0.0,0.0,M2138294682,0.0,0.0,0,0
